timestamp, utilization.gpu [%], utilization.memory [%]
2017/07/31 05:40:45.826, 0, 0
2017/07/31 05:40:46.826, 99, 44
2017/07/31 05:40:47.826, 0, 0
2017/07/31 05:40:48.827, 0, 0
2017/07/31 05:40:49.827, 0, 0
2017/07/31 05:40:50.827, 77, 9
2017/07/31 05:40:51.827, 0, 0
2017/07/31 05:40:52.827, 0, 0
2017/07/31 05:40:53.828, 0, 0
2017/07/31 05:40:54.828, 0, 0
2017/07/31 05:40:55.828, 99, 42
2017/07/31 05:40:56.828, 0, 0
2017/07/31 05:40:57.828, 0, 0
2017/07/31 05:40:58.829, 0, 0
2017/07/31 05:40:59.829, 98, 50
2017/07/31 05:41:00.829, 0, 0
2017/07/31 05:41:01.829, 0, 0
2017/07/31 05:41:02.829, 0, 0
2017/07/31 05:41:03.830, 0, 0
2017/07/31 05:41:04.830, 99, 43
2017/07/31 05:41:05.830, 0, 0
2017/07/31 05:41:06.830, 0, 0
2017/07/31 05:41:07.830, 0, 0
2017/07/31 05:41:08.830, 77, 11
2017/07/31 05:41:09.831, 0, 0
2017/07/31 05:41:10.831, 0, 0
2017/07/31 05:41:11.831, 0, 0
2017/07/31 05:41:12.831, 0, 0
2017/07/31 05:41:13.831, 99, 52
2017/07/31 05:41:14.832, 0, 0
2017/07/31 05:41:15.832, 0, 0
2017/07/31 05:41:16.832, 0, 0
2017/07/31 05:41:17.832, 0, 0
2017/07/31 05:41:18.832, 39, 17
2017/07/31 05:41:19.832, 0, 0
2017/07/31 05:41:20.833, 0, 0
2017/07/31 05:41:21.833, 0, 0
2017/07/31 05:41:22.833, 96, 50
2017/07/31 05:41:23.833, 0, 0
2017/07/31 05:41:24.833, 0, 0
2017/07/31 05:41:25.834, 0, 0
2017/07/31 05:41:26.834, 0, 0
2017/07/31 05:41:27.834, 10, 3
2017/07/31 05:41:28.834, 0, 0
2017/07/31 05:41:29.835, 0, 0
2017/07/31 05:41:30.835, 0, 0
2017/07/31 05:41:31.835, 0, 0
2017/07/31 05:41:32.835, 53, 23
2017/07/31 05:41:33.838, 0, 0
2017/07/31 05:41:34.838, 0, 0
2017/07/31 05:41:35.838, 0, 0
2017/07/31 05:41:36.838, 99, 52
2017/07/31 05:41:37.838, 0, 0
2017/07/31 05:41:38.839, 0, 0
2017/07/31 05:41:39.839, 0, 0
2017/07/31 05:41:40.839, 0, 0
2017/07/31 05:41:41.839, 76, 32
2017/07/31 05:41:42.840, 0, 0
2017/07/31 05:41:43.840, 0, 0
2017/07/31 05:41:44.840, 0, 0
2017/07/31 05:41:45.840, 97, 44
2017/07/31 05:41:46.840, 0, 0
2017/07/31 05:41:47.841, 0, 0
2017/07/31 05:41:48.841, 0, 0
2017/07/31 05:41:49.841, 0, 0
2017/07/31 05:41:50.841, 4, 1
2017/07/31 05:41:51.841, 0, 0
2017/07/31 05:41:52.842, 0, 0
2017/07/31 05:41:53.842, 0, 0
2017/07/31 05:41:54.842, 98, 44
2017/07/31 05:41:55.842, 0, 0
2017/07/31 05:41:56.842, 0, 0
2017/07/31 05:41:57.843, 0, 0
2017/07/31 05:41:58.843, 0, 0
2017/07/31 05:41:59.843, 41, 18
2017/07/31 05:42:00.843, 0, 0
2017/07/31 05:42:01.844, 0, 0
2017/07/31 05:42:02.844, 0, 0
2017/07/31 05:42:03.844, 99, 44
2017/07/31 05:42:04.844, 0, 0
2017/07/31 05:42:05.844, 0, 0
2017/07/31 05:42:06.845, 0, 0
2017/07/31 05:42:07.845, 80, 15
2017/07/31 05:42:08.845, 0, 0
2017/07/31 05:42:09.845, 0, 0
2017/07/31 05:42:10.845, 0, 0
2017/07/31 05:42:11.846, 0, 0
2017/07/31 05:42:12.846, 99, 43
2017/07/31 05:42:13.846, 0, 0
2017/07/31 05:42:14.846, 0, 0
2017/07/31 05:42:15.846, 0, 0
2017/07/31 05:42:16.846, 91, 35
2017/07/31 05:42:17.847, 0, 0
2017/07/31 05:42:18.847, 0, 0
2017/07/31 05:42:19.847, 0, 0
2017/07/31 05:42:20.847, 54, 1
2017/07/31 05:42:21.847, 0, 0
2017/07/31 05:42:22.848, 0, 0
2017/07/31 05:42:23.848, 0, 0
2017/07/31 05:42:24.848, 0, 0
2017/07/31 05:42:25.848, 99, 43
2017/07/31 05:42:26.849, 0, 0
2017/07/31 05:42:27.849, 0, 0
2017/07/31 05:42:28.849, 0, 0
2017/07/31 05:42:29.849, 65, 4
2017/07/31 05:42:30.849, 0, 0
2017/07/31 05:42:31.850, 0, 0
2017/07/31 05:42:32.850, 0, 0
2017/07/31 05:42:33.850, 0, 0
2017/07/31 05:42:34.850, 99, 42
2017/07/31 05:42:35.850, 0, 0
2017/07/31 05:42:36.851, 0, 0
2017/07/31 05:42:37.851, 0, 0
2017/07/31 05:42:38.851, 2, 0
2017/07/31 05:42:39.851, 0, 0
2017/07/31 05:42:40.851, 0, 0
2017/07/31 05:42:41.852, 0, 0
2017/07/31 05:42:42.852, 0, 0
2017/07/31 05:42:43.852, 99, 43
2017/07/31 05:42:44.852, 0, 0
2017/07/31 05:42:45.852, 0, 0
2017/07/31 05:42:46.852, 0, 0
2017/07/31 05:42:47.853, 28, 1
2017/07/31 05:42:48.853, 0, 0
2017/07/31 05:42:49.853, 0, 0
2017/07/31 05:42:50.853, 0, 0
2017/07/31 05:42:51.853, 0, 0
2017/07/31 05:42:52.854, 99, 43
2017/07/31 05:42:53.854, 0, 0
2017/07/31 05:42:54.854, 0, 0
2017/07/31 05:42:55.854, 0, 0
2017/07/31 05:42:56.854, 48, 1
2017/07/31 05:42:57.855, 0, 0
2017/07/31 05:42:58.855, 0, 0
2017/07/31 05:42:59.855, 0, 0
2017/07/31 05:43:00.855, 0, 0
2017/07/31 05:43:01.855, 98, 43
2017/07/31 05:43:02.856, 0, 0
2017/07/31 05:43:03.856, 0, 0
2017/07/31 05:43:04.856, 0, 0
2017/07/31 05:43:05.856, 12, 0
2017/07/31 05:43:06.857, 0, 0
2017/07/31 05:43:07.857, 0, 0
2017/07/31 05:43:08.857, 0, 0
2017/07/31 05:43:09.857, 0, 0
2017/07/31 05:43:10.857, 96, 43
2017/07/31 05:43:11.857, 0, 0
2017/07/31 05:43:12.858, 0, 0
2017/07/31 05:43:13.858, 0, 0
2017/07/31 05:43:14.858, 0, 0
2017/07/31 05:43:15.858, 91, 41
2017/07/31 05:43:16.859, 0, 0
2017/07/31 05:43:17.859, 0, 0
2017/07/31 05:43:18.859, 0, 0
2017/07/31 05:43:19.859, 99, 51
2017/07/31 05:43:20.859, 0, 0
2017/07/31 05:43:21.860, 0, 0
2017/07/31 05:43:22.860, 0, 0
2017/07/31 05:43:23.860, 0, 0
2017/07/31 05:43:24.860, 2, 0
2017/07/31 05:43:25.860, 0, 0
2017/07/31 05:43:26.861, 0, 0
2017/07/31 05:43:27.861, 0, 0
2017/07/31 05:43:28.861, 99, 43
2017/07/31 05:43:29.861, 0, 0
2017/07/31 05:43:30.861, 0, 0
2017/07/31 05:43:31.862, 0, 0
2017/07/31 05:43:32.862, 85, 24
2017/07/31 05:43:33.862, 0, 0
2017/07/31 05:43:34.862, 0, 0
2017/07/31 05:43:35.862, 0, 0
2017/07/31 05:43:36.863, 0, 0
2017/07/31 05:43:37.863, 99, 43
2017/07/31 05:43:38.863, 0, 0
2017/07/31 05:43:39.863, 0, 0
2017/07/31 05:43:40.863, 0, 0
2017/07/31 05:43:41.864, 93, 36
2017/07/31 05:43:42.864, 0, 0
2017/07/31 05:43:43.864, 0, 0
2017/07/31 05:43:44.864, 0, 0
2017/07/31 05:43:45.864, 0, 0
2017/07/31 05:43:46.865, 84, 37
2017/07/31 05:43:47.865, 0, 0
2017/07/31 05:43:48.865, 0, 0
2017/07/31 05:43:49.865, 0, 0
2017/07/31 05:43:50.865, 99, 50
2017/07/31 05:43:51.866, 0, 0
2017/07/31 05:43:52.866, 0, 0
2017/07/31 05:43:53.866, 0, 0
2017/07/31 05:43:54.866, 0, 0
2017/07/31 05:43:55.866, 67, 30
2017/07/31 05:43:56.867, 0, 0
2017/07/31 05:43:57.867, 0, 0
2017/07/31 05:43:58.867, 0, 0
2017/07/31 05:43:59.867, 97, 47
2017/07/31 05:44:00.867, 0, 0
2017/07/31 05:44:01.868, 0, 0
2017/07/31 05:44:02.868, 0, 0
2017/07/31 05:44:03.868, 0, 0
2017/07/31 05:44:04.868, 69, 31
2017/07/31 05:44:05.868, 0, 0
2017/07/31 05:44:06.869, 0, 0
2017/07/31 05:44:07.869, 0, 0
2017/07/31 05:44:08.869, 99, 42
2017/07/31 05:44:09.869, 0, 0
2017/07/31 05:44:10.870, 0, 0
2017/07/31 05:44:11.870, 0, 0
2017/07/31 05:44:12.870, 6, 0
2017/07/31 05:44:13.870, 0, 0
2017/07/31 05:44:14.870, 0, 0
2017/07/31 05:44:15.871, 0, 0
2017/07/31 05:44:16.871, 0, 0
2017/07/31 05:44:17.871, 99, 43
2017/07/31 05:44:18.871, 0, 0
2017/07/31 05:44:19.871, 0, 0
2017/07/31 05:44:20.872, 0, 0
2017/07/31 05:44:21.872, 72, 8
2017/07/31 05:44:22.872, 0, 0
